Transcript start (bp)	Chromosome/scaffold name	Transcript end (bp)	Strand	Gene start (bp)	Gene end (bp)
73618229	3	73619802	1	73618229	73619802
73631466	3	73634583	1	73631466	73634583
73657938	3	73659231	-1	73657938	73659231
73661587	3	73662178	1	73661587	73662178
73665703	3	73667297	-1	73665703	73667297
73668309	3	73674864	-1	73668309	73674864
73676138	3	73678603	1	73676138	73678603
73680284	3	73684980	-1	73680284	73684980
73680284	3	73684980	-1	73680284	73684980
73686869	3	73688611	-1	73686869	73688611
73701945	3	73702229	1	73701945	73702229
73714759	3	73718206	-1	73714759	73718206
73718911	3	73722259	1	73718911	73722259
73728210	3	73729009	1	73728210	73729009
73736789	3	73740710	1	73736789	73740710
73741588	3	73743899	1	73741588	73743899
73744354	3	73748495	1	73744354	73748495
73750185	3	73751819	1	73750185	73751819
73752372	3	73755969	-1	73752372	73755969
73758072	3	73759255	-1	73758072	73759255
73762818	3	73765624	-1	73762818	73765624
73768423	3	73771263	1	73768423	73771263
73777323	3	73778582	-1	73777323	73778582
73779915	3	73783190	1	73779915	73783190
73783858	3	73787410	-1	73783858	73787410
73788493	3	73790878	-1	73788493	73790878
73791766	3	73794809	-1	73791766	73794809
73796055	3	73798261	-1	73796055	73798261
73804955	3	73809011	1	73804955	73809011
73811850	3	73813049	1	73811850	73813049
73813114	3	73813762	1	73813114	73813762
73814006	3	73814242	1	73814006	73814242
73816611	3	73817881	-1	73816611	73817881
73821370	3	73822532	-1	73821370	73822532
73826164	3	73827090	-1	73826164	73827090
73836048	3	73836893	-1	73836048	73836893
73840737	3	73842496	1	73840737	73842496
73843009	3	73846237	-1	73843009	73846237
73846498	3	73848577	1	73846498	73848577
73865324	3	73866990	1	73865324	73866990
73874633	3	73875126	1	73874633	73875126
73875809	3	73876558	1	73875809	73876558
73877161	3	73880978	-1	73877161	73880978
73887207	3	73890074	1	73887207	73890074
73893290	3	73893514	1	73893290	73893514
73893978	3	73896359	-1	73893978	73896359
73909572	3	73910391	1	73909572	73910391
73918925	3	73922143	1	73918925	73922143
73923664	3	73924615	1	73923664	73924615
73926226	3	73927359	1	73926226	73927359
73928743	3	73935629	-1	73928743	73935629
73937746	3	73938586	-1	73937746	73938586
73954384	3	73955658	-1	73954384	73955658
73956851	3	73959932	1	73956851	73959932
73961345	3	73964346	1	73961345	73964346
73968225	3	73973385	1	73968225	73973385
73975400	3	73977561	-1	73975400	73977561
73975400	3	73977221	-1	73975400	73977561
73980006	3	73980389	1	73980006	73980389
73982878	3	73986929	1	73982878	73986929
73987581	3	73987970	-1	73987581	73987970
73989735	3	73990259	-1	73989735	73990259
73991785	3	73993785	-1	73991785	73993785
73997868	3	74007622	1	73997868	74007622
74007829	3	74008566	-1	74007829	74008566
74008856	3	74012651	1	74008856	74012651
74013522	3	74016143	-1	74013522	74016143
74017200	3	74018448	1	74017200	74018448
74020236	3	74023537	1	74020236	74023537
74024238	3	74025899	-1	74024238	74025899
74032636	3	74034158	-1	74032636	74034158
74043203	3	74045610	-1	74043203	74045610
74046578	3	74049991	1	74046578	74049991
74051192	3	74054467	-1	74051192	74054467
74060469	3	74061547	1	74060469	74061547
74083019	3	74084232	1	74083019	74084232
74088507	3	74090114	1	74088507	74090114
74091482	3	74092426	1	74091482	74092426
74093846	3	74094328	1	74093846	74094328
74104413	3	74105816	1	74104413	74105816
74106876	3	74112935	1	74106876	74112935
74113218	3	74113668	1	74113218	74113668
74114274	3	74116953	1	74114274	74116953
74119446	3	74120174	1	74119446	74120174
74125172	3	74128429	1	74125172	74128429
74129040	3	74130406	-1	74129040	74130406
74131322	3	74134925	-1	74131322	74134925
74141132	3	74143901	1	74141132	74143901
74145011	3	74148340	-1	74145011	74148340
74151203	3	74153867	1	74151203	74153867
74154079	3	74157473	-1	74154079	74157473
74154079	3	74157473	-1	74154079	74157473
74161268	3	74161492	1	74161268	74161492
74162140	3	74164185	-1	74162140	74164185
74170362	3	74172450	1	74170362	74172450
74174915	3	74178514	-1	74174915	74178514
74184251	3	74185497	1	74184251	74185497
74188416	3	74190950	1	74188416	74190950
74193280	3	74196198	-1	74193280	74196198
74197776	3	74201971	-1	74197776	74201971
74205803	3	74207284	-1	74205803	74207284
74216346	3	74217976	-1	74216346	74217976
74261998	3	74264051	-1	74261998	74264051
74266243	3	74266535	1	74266243	74266535
74307317	3	74310809	1	74307317	74310809
74311611	3	74313922	1	74311611	74313922
74316079	3	74319133	-1	74316079	74319133
74321189	3	74322172	1	74321189	74322172
74324128	3	74326808	-1	74324128	74326808
74324128	3	74326808	-1	74324128	74326808
74330641	3	74333722	1	74330641	74333722
74334278	3	74335365	1	74334278	74335365
74339211	3	74340261	-1	74339211	74340261
74348539	3	74351868	-1	74348539	74351868
74357894	3	74359765	1	74357894	74359765
74360704	3	74364966	-1	74360704	74364966
74365136	3	74366416	1	74365136	74366416
74370109	3	74370412	-1	74370109	74370412
74371021	3	74372588	-1	74371021	74372588
74376043	3	74380916	-1	74376043	74380916
74382457	3	74390855	-1	74382457	74390855
74394572	3	74397973	1	74394572	74397973
74398782	3	74403294	-1	74398782	74403294
74416969	3	74418492	-1	74416969	74418492
74419549	3	74423167	-1	74419549	74423167
74431975	3	74432841	-1	74431975	74432841
74435862	3	74439055	-1	74435815	74439055
74435815	3	74438890	-1	74435815	74439055
5416	GL002994.1	5884	-1	5416	5884
10950	GL002994.1	11467	-1	10950	11467
923	GL003023.1	3047	1	923	3047
251	GL003037.1	1214	1	251	1214
9096	GL003043.1	10120	1	9096	10120
602	GL003049.1	990	-1	602	990
705	GL003049.1	985	1	705	985
4712	GL003052.1	7767	-1	4712	7767
8704	GL003052.1	9496	1	8704	9496
8	GL003053.1	3503	1	8	3503
9400	GL003053.1	11335	1	9400	11335
16	GL003059.1	3870	-1	16	3870
448	GL003059.1	1210	1	448	1210
3463	GL003059.1	7317	1	3463	7317
9475	GL003059.1	10404	1	9475	10404
9814	GL003061.1	10782	1	9814	10782
1416	GL003083.1	2225	1	1416	2225
1909	GL003091.1	5978	1	1909	5978
6885	GL003091.1	7356	1	6885	7356
8909	4	9743	-1	8909	9743
10238	4	11089	-1	10238	11089
49888	4	56427	-1	49888	56427
49888	4	56427	-1	49888	56427
49888	4	55697	-1	49888	56427
65090	4	66684	1	65090	66684
66882	4	73024	-1	66882	73024
73305	4	76893	1	73305	76893
73305	4	76893	1	73305	76893
73305	4	76893	1	73305	76893
78486	4	79180	1	78486	79180
83230	4	84739	1	83230	84739
87027	4	90752	-1	87027	90752
98982	4	99922	1	98982	99922
100881	4	107905	-1	100881	107905
111697	4	112269	-1	111697	112269
128844	4	130745	1	128844	130745
130870	4	133857	-1	130862	133857
130862	4	133857	-1	130862	133857
130862	4	133857	-1	130862	133857
134105	4	135765	-1	134105	135765
137111	4	142639	-1	137111	142639
159116	4	159975	1	159116	159975
160282	4	161993	-1	160282	161993
174752	4	177213	1	174752	177213
177511	4	178138	-1	177511	178138
179602	4	184463	1	179602	184463
184552	4	189159	-1	184552	189180
184552	4	189180	-1	184552	189180
190014	4	195091	-1	190014	195091
202971	4	205771	-1	202971	205771
205997	4	208918	1	205997	208918
205997	4	208918	1	205997	208918
209636	4	211155	-1	209636	211155
216615	4	216886	1	216615	216886
222425	4	223184	-1	222425	223184
224271	4	225781	-1	224271	225781
227960	4	231395	-1	227960	231395
234828	4	241016	-1	234828	241016
263137	4	263349	-1	263137	263349
269263	4	269661	1	269263	269661
271880	4	273810	1	271880	273810
278611	4	278900	1	278611	278900
294752	4	295606	1	294752	295606
301810	4	310319	1	301810	310319
312774	4	313460	1	312774	313460
351621	4	354447	-1	351621	354447
367661	4	371444	1	367661	371444
372053	4	375378	1	372053	375378
375732	4	377976	1	375732	377976
381720	4	388438	1	381720	388438
394064	4	406016	1	394064	406016
408967	4	412175	1	408967	412175
416761	4	418218	1	416761	418218
420755	4	423467	1	420755	423467
429606	4	431123	-1	429606	431123
431460	4	432512	-1	431460	432512
439004	4	439330	1	439004	439330
440298	4	443139	1	440298	443139
444160	4	448409	1	444160	448409
453946	4	454864	-1	453946	454864
460582	4	463160	1	460582	463160
465415	4	469383	1	465415	469383
470601	4	473118	-1	470601	473118
475202	4	479584	-1	475202	479584
483669	4	491585	1	483669	491585
492524	4	493405	-1	492524	493405
495706	4	497775	-1	495706	497775
505130	4	507523	-1	505130	507523
505148	4	507523	-1	505130	507523
531938	4	537568	-1	531938	537568
539631	4	539861	-1	539631	539861
540248	4	541204	-1	540248	541204
548684	4	550329	-1	548684	550508
548684	4	550508	-1	548684	550508
554666	4	556198	1	554666	556198
556784	4	562729	-1	556784	562729
564681	4	567112	-1	564681	567112
571125	4	573060	-1	571125	573060
577362	4	578648	-1	577362	578648
591721	4	595554	-1	591721	595554
599058	4	602341	-1	599058	602341
612487	4	617835	1	612487	617835
619923	4	621568	-1	619923	621568
634454	4	634704	-1	634454	634704
634854	4	635737	-1	634854	635737
635738	4	636197	-1	635738	636197
646488	4	647327	1	646488	647327
649821	4	652796	1	649821	652796
653229	4	654207	1	653229	654207
667132	4	671022	1	667132	671022
679617	4	682572	-1	679617	682572
685203	4	687050	1	685203	687050
698389	4	701098	1	698389	701098
706294	4	708836	-1	706294	708836
712504	4	717376	-1	712504	717376
719567	4	730574	-1	719567	730574
736807	4	738231	-1	736807	738231
739115	4	742506	-1	739115	742506
744300	4	745331	-1	744300	745331
753760	4	754727	-1	753760	754727
757910	4	760164	1	757910	760164
763636	4	766845	-1	763636	766845
783306	4	784469	1	783306	784469
789823	4	790783	1	789823	790783
791196	4	794096	1	791196	794096
797151	4	800603	1	797151	800603
807816	4	809771	1	807816	809771
813205	4	814621	-1	813205	814621
823457	4	825517	1	823457	825517
833746	4	835685	-1	833746	835685
839561	4	849439	-1	839561	849439
856351	4	857705	-1	856351	857705
859188	4	863819	-1	859188	863819
866037	4	868945	1	866037	868945
881207	4	882524	-1	881207	882524
883235	4	884866	-1	883235	884866
886357	4	889168	1	886357	889168
891427	4	892938	1	891427	892938
897341	4	901462	-1	897341	901462
910767	4	911101	-1	910767	911101
914797	4	916637	-1	914797	916637
916984	4	917287	-1	916984	917287
919027	4	919554	-1	919027	919554
923302	4	926636	1	923302	926636
928831	4	929324	-1	928831	929324
929347	4	929791	-1	929347	929791
932501	4	933130	-1	932501	933130
933827	4	938575	-1	933827	938575
938818	4	941850	1	938818	941850
942203	4	943927	-1	942203	943927
948176	4	948626	-1	948176	948626
955845	4	961447	1	955845	961447
963242	4	963478	-1	963242	963478
966713	4	968581	-1	966713	968581
981279	4	985460	-1	981279	985460
981279	4	985460	-1	981279	985460
989134	4	989349	-1	989134	989349
989350	4	990028	-1	989350	990028
994470	4	995360	1	994470	995360
995688	4	997116	1	995688	997116
1000311	4	1002450	-1	1000311	1002450
1012924	4	1016515	1	1012924	1016515
1016937	4	1019794	-1	1016937	1019794
1016937	4	1019794	-1	1016937	1019794
1026974	4	1030045	1	1026974	1030045
1048656	4	1051236	-1	1048656	1051236
1053758	4	1055042	-1	1053758	1055042
1058254	4	1058673	1	1058254	1058673
1059408	4	1060349	-1	1059408	1060349
1072023	4	1075583	1	1072023	1075583
1076320	4	1077427	-1	1076320	1077427
1078022	4	1079857	1	1078022	1079857
1082840	4	1086316	1	1082840	1086316
1091746	4	1096684	1	1091746	1096684
1102732	4	1106801	1	1102732	1106801
1118592	4	1122048	1	1118592	1122048
1123288	4	1124771	1	1123288	1124771
1125073	4	1129206	-1	1125073	1129206
1129889	4	1133380	-1	1129889	1133380
1137809	4	1139290	-1	1137809	1139290
1144310	4	1146248	-1	1144310	1146248
1163071	4	1167079	1	1163071	1167079
1170543	4	1174046	1	1170543	1174046
1180210	4	1181463	-1	1180210	1181463
1183424	4	1183816	-1	1183424	1183816
1186605	4	1187111	-1	1186605	1187111
1188720	4	1189345	1	1188720	1189345
1189374	4	1192740	1	1189374	1192740
1199722	4	1202994	1	1199722	1202994
1207969	4	1208522	-1	1207969	1208522
1213650	4	1214161	1	1213650	1214161
1217842	4	1225786	-1	1217842	1225786
1233516	4	1238782	1	1233516	1238782
1248408	4	1252547	-1	1248408	1252547
1255497	4	1257709	1	1255497	1257709
1261588	4	1264890	1	1261588	1264890
1267838	4	1269734	1	1267838	1269734
1272773	4	1276725	1	1272773	1276725
1278714	4	1283533	1	1278714	1283533
1290955	4	1291215	1	1290955	1291215
1293834	4	1299888	-1	1293834	1299888
1303575	4	1305145	-1	1303575	1305145
1307169	4	1307756	-1	1307169	1307756
1310586	4	1311513	1	1310586	1311513
1319419	4	1320600	-1	1319419	1320600
1324649	4	1331016	1	1324649	1331016
1334741	4	1336855	1	1334741	1336855
1336964	4	1338717	-1	1336964	1338717
1338857	4	1340031	1	1338857	1340031
1340076	4	1346387	-1	1340076	1346387
1355833	4	1359134	-1	1355833	1359134
1366083	4	1368966	-1	1366083	1368966
1372821	4	1374648	1	1372821	1374648
1377734	4	1378494	-1	1377734	1378494
1379901	4	1383949	-1	1379901	1383949
1384836	4	1386750	-1	1384836	1386750
1388861	4	1390412	-1	1388861	1390412
1393384	4	1393720	-1	1393384	1393720
1397352	4	1398306	-1	1397352	1398306
1402484	4	1404121	-1	1402484	1404121
1424469	4	1425612	1	1424451	1425612
1424451	4	1425612	1	1424451	1425612
1428519	4	1431545	-1	1428519	1431545
1431567	4	1432028	-1	1431567	1432028
1433903	4	1437550	-1	1433903	1437550
1438187	4	1442786	-1	1438187	1442786
1453942	4	1455328	-1	1453942	1455328
1459098	4	1463690	-1	1459098	1463690
1469118	4	1470103	1	1469118	1470103
1475303	4	1477031	-1	1475303	1477031
1481100	4	1485994	-1	1481100	1485994
1494155	4	1498653	1	1494155	1498653
1503538	4	1506346	1	1503538	1506346
1512076	4	1514231	1	1512076	1514231
1528729	4	1531291	1	1528729	1531291
1549925	4	1550849	1	1549925	1550849
1557874	4	1560580	1	1557874	1560580
1566297	4	1569446	1	1566297	1569446
1566297	4	1568677	1	1566297	1569446
1571004	4	1572842	1	1571004	1572842
1576525	4	1581154	-1	1576525	1581154
1585160	4	1588273	1	1585160	1588273
1589314	4	1595199	-1	1589314	1595199
1596033	4	1596697	1	1596033	1596697
1596832	4	1597170	1	1596832	1597170
1598398	4	1601351	-1	1598398	1601351
1601881	4	1606248	-1	1601881	1606248
1609740	4	1609937	1	1609740	1609937
1613450	4	1615002	1	1613450	1615002
1616418	4	1617821	-1	1616418	1617821
1620055	4	1620790	-1	1620055	1620790
1625968	4	1626844	1	1625968	1626844
1628407	4	1630029	1	1628407	1630029
1630859	4	1634508	-1	1630859	1634508
1635912	4	1639088	-1	1635912	1639088
1641482	4	1646286	-1	1641482	1646286
1652207	4	1657019	1	1652207	1657019
1658588	4	1662844	1	1658588	1662844
1663512	4	1666676	-1	1663512	1666676
1669377	4	1674373	-1	1669377	1674373
1681604	4	1683518	1	1681604	1683518
1704484	4	1704681	1	1704484	1704681
1708660	4	1708872	1	1708660	1708872
1715948	4	1716181	1	1715948	1716181
1722376	4	1722612	1	1722376	1722612
1727778	4	1728011	1	1727778	1728011
1741573	4	1741963	1	1741573	1741963
1751452	4	1753782	-1	1751452	1753782
1754042	4	1754266	1	1754042	1754266
1756429	4	1756653	1	1756429	1756653
1763471	4	1763686	-1	1763471	1763686
1766301	4	1770275	1	1766301	1770275
1775831	4	1776031	-1	1775831	1776031
1778079	4	1778321	1	1778079	1778321
1812744	4	1815250	1	1812744	1815250
1863229	4	1876993	1	1863229	1876993
1880652	4	1890831	1	1880652	1890831
1890893	4	1891264	1	1890893	1891264
1894267	4	1897975	-1	1894267	1897975
1905688	4	1908394	-1	1905688	1908394
1910517	4	1911906	1	1910517	1911906
1916039	4	1916947	-1	1916039	1916947
1919023	4	1919310	-1	1919023	1919310
1919958	4	1920938	1	1919958	1920938
1921441	4	1929388	-1	1921441	1929388
1938989	4	1940701	1	1938989	1940701
1941541	4	1945992	-1	1941541	1945992
1948480	4	1949238	1	1948480	1949238
1957783	4	1962196	1	1957783	1962196
1974499	4	1978417	1	1974499	1978417
1980190	4	1983756	1	1980190	1983756
1987009	4	1991426	1	1987009	1991426
1997618	4	2001040	1	1997618	2001040
2005025	4	2007076	1	2005025	2007076
2007093	4	2010892	-1	2007093	2010892
2007093	4	2010892	-1	2007093	2010892
2011697	4	2014282	-1	2011697	2014282
2023811	4	2030267	1	2023811	2030267
2023811	4	2030267	1	2023811	2030267
2030687	4	2031979	1	2030687	2031979
2033522	4	2034473	1	2033522	2034473
2036911	4	2038860	1	2036911	2038860
2039712	4	2042830	-1	2039712	2042830
2052232	4	2056169	1	2052232	2056169
2056762	4	2062124	-1	2056762	2062124
2067195	4	2068973	1	2067195	2068973
2073471	4	2075524	1	2073471	2075524
2075898	4	2079846	-1	2075898	2079846
2081366	4	2083250	1	2081366	2083250
2085579	4	2086694	1	2085579	2086694
2089335	4	2092891	1	2089335	2092891
2097805	4	2098890	-1	2097805	2098890
2102391	4	2106259	1	2102310	2106259
2102310	4	2106259	1	2102310	2106259
2110603	4	2111897	1	2110603	2111897
2137965	4	2141158	1	2137965	2141158
2149478	4	2151153	1	2149478	2151153
2151557	4	2153182	1	2151557	2153182
2155570	4	2158696	1	2155570	2158696
2159737	4	2163280	-1	2159737	2163280
2171429	4	2174532	1	2171429	2174532
2175906	4	2179661	1	2175906	2179661
2186446	4	2186980	1	2186446	2186980
2189026	4	2193576	1	2189026	2193576
2227067	4	2231740	-1	2227067	2231740
2233226	4	2235034	-1	2233226	2235034
2235466	4	2239975	1	2235466	2239975
2252450	4	2256928	-1	2252450	2256928
2257390	4	2260978	-1	2257390	2260978
2262057	4	2262386	-1	2262057	2262386
2264150	4	2266920	1	2264150	2266920
2267246	4	2269175	-1	2267246	2269175
2270324	4	2273430	-1	2270313	2273430
2270313	4	2273430	-1	2270313	2273430
2276434	4	2278882	1	2276434	2278882
2279792	4	2283210	-1	2279792	2283210
2285720	4	2287971	-1	2285720	2287971
2307010	4	2310871	1	2307010	2310871
2312336	4	2312878	-1	2312336	2312878
2315920	4	2320365	-1	2315920	2320365
2333767	4	2339400	1	2333767	2339400
2341448	4	2347856	1	2341448	2347856
2375656	4	2377974	1	2375656	2377974
2383065	4	2385822	1	2383065	2385822
2385874	4	2390935	-1	2385874	2390935
2399537	4	2402962	1	2399537	2402962
2405657	4	2409357	-1	2405657	2409357
2409606	4	2414478	1	2409606	2414478
2409606	4	2414113	1	2409606	2414478
2418523	4	2430579	-1	2418523	2430579
2430772	4	2431314	-1	2430772	2431314
2440377	4	2440847	1	2440377	2440847
2446959	4	2450220	-1	2446959	2450220
2454270	4	2455149	-1	2454270	2455149
2457380	4	2460215	-1	2457380	2460215
2461287	4	2464725	-1	2461287	2464725
2475737	4	2479409	1	2475737	2479409
2483884	4	2486276	1	2483884	2486276
2496450	4	2497341	-1	2496450	2497341
2513188	4	2521939	-1	2513188	2521939
2545649	4	2547532	1	2545649	2547532
2552675	4	2554678	-1	2552675	2554678
2555395	4	2555875	1	2555395	2555875
2555880	4	2557691	1	2555880	2557691
2559218	4	2559400	1	2559218	2559400
2561762	4	2565478	-1	2561762	2565478
2572143	4	2576727	1	2572143	2576727
2590079	4	2594366	1	2590079	2594366
2595621	4	2598363	-1	2595621	2598363
2600523	4	2604157	1	2600523	2604157
2607195	4	2610262	1	2607195	2610262
2611586	4	2614568	1	2611586	2614568
2619242	4	2620087	-1	2619242	2620087
2630862	4	2635099	1	2630862	2635099
2635259	4	2638635	-1	2635259	2638635
2642929	4	2647052	-1	2642929	2647052
2652145	4	2655981	-1	2652145	2655981
2664552	4	2666678	1	2664552	2666678
2676723	4	2684263	1	2676723	2684263
2684782	4	2687945	-1	2684782	2687945
2688323	4	2695898	1	2688323	2695898
2703835	4	2705939	1	2703835	2705939
2711321	4	2713307	1	2711321	2713307
2724935	4	2726370	1	2724935	2726370
2732323	4	2736743	1	2732323	2736743
2752358	4	2756572	1	2752358	2756572
2752358	4	2756495	1	2752358	2756572
2758722	4	2759339	1	2758722	2759339
2761550	4	2762638	1	2761550	2762638
2764496	4	2768576	1	2764496	2768576
2764496	4	2768576	1	2764496	2768576
2768817	4	2771712	-1	2768817	2771712
2775135	4	2778704	1	2775135	2778704
2779909	4	2790613	1	2779909	2790613
2791753	4	2794437	1	2791753	2794437
2795303	4	2796596	-1	2795303	2796596
2799523	4	2803850	1	2799523	2803850
2807129	4	2812400	1	2807129	2812400
2814859	4	2815083	-1	2814859	2815083
2815306	4	2816511	-1	2815306	2816511
2827247	4	2838819	1	2827247	2838819
2840804	4	2844135	1	2840804	2844135
2844953	4	2848034	1	2844953	2848034
2849246	4	2849784	-1	2849246	2849784
2852655	4	2856436	1	2852655	2856436
2857203	4	2865956	-1	2857203	2865956
2871982	4	2873573	1	2871982	2873573
2875120	4	2877748	1	2875120	2877748
2885635	4	2890011	1	2885635	2890011
2906074	4	2909737	-1	2906074	2909737
2916963	4	2917762	1	2916963	2917762
2923999	4	2933708	1	2923999	2933708
2936379	4	2939116	1	2936379	2939116
2940231	4	2942365	1	2940231	2942365
2942965	4	2945111	-1	2942965	2945111
2950214	4	2953280	-1	2950214	2953280
2954056	4	2960440	-1	2954056	2960440
2965418	4	2970380	1	2965414	2970380
2965414	4	2969728	1	2965414	2970380
2977779	4	2981450	1	2977779	2981450
2983595	4	2985888	1	2983595	2985888
2986199	4	2995107	-1	2986199	2995107
2997394	4	3005273	-1	2997394	3005273
3040925	4	3051782	-1	3040925	3051782
3041610	4	3051716	-1	3040925	3051782
3068442	4	3069104	1	3068442	3069104
3071413	4	3072207	1	3071413	3072207
3072716	4	3080254	-1	3072716	3080254
3096179	4	3104927	-1	3096179	3104927
3108070	4	3111023	-1	3108070	3111023
3114627	4	3121911	1	3114627	3121911
3125105	4	3127914	-1	3125105	3127914
3130166	4	3136990	1	3130166	3136990
3162850	4	3165282	-1	3162850	3165282
3167819	4	3175659	1	3167819	3175659
3192021	4	3192626	-1	3192021	3192626
3194372	4	3201121	1	3194372	3201121
3203532	4	3204110	1	3203532	3204110
3206068	4	3206442	-1	3206068	3206442
3212345	4	3212575	-1	3212345	3212575
3212708	4	3213574	-1	3212708	3213574
3226912	4	3227409	1	3226912	3227409
3227485	4	3228236	1	3227485	3228236
3228452	4	3229544	1	3228452	3229544
3232433	4	3232891	1	3232433	3232891
3233496	4	3234283	1	3233496	3234283
3240371	4	3241821	1	3240371	3241821
3242740	4	3244500	-1	3242740	3244500
3244729	4	3250597	1	3244729	3250597
3253734	4	3255860	1	3253734	3255860
3259055	4	3263298	1	3259055	3263298
3269308	4	3271147	-1	3269308	3271147
3274892	4	3283186	1	3274892	3283186
3286459	4	3291193	1	3286459	3291193
3291915	4	3292313	-1	3291915	3292313
3292563	4	3293679	-1	3292563	3293679
3294202	4	3299388	1	3294202	3299388
3294202	4	3299022	1	3294202	3299388
3301314	4	3307267	1	3301314	3307267
3321373	4	3324297	1	3321373	3324297
3325168	4	3329588	-1	3325168	3329588
3345344	4	3346378	-1	3345344	3346378
3346860	4	3347181	1	3346860	3347181
3349577	4	3359548	1	3349577	3359548
3360666	4	3365003	1	3360666	3365003
3367136	4	3368958	-1	3367136	3368958
3371161	4	3374044	1	3371161	3374044
3375268	4	3380019	1	3375268	3380019
3382852	4	3386133	1	3382852	3386133
3388376	4	3388977	-1	3388376	3388977
3391147	4	3393184	-1	3391147	3393184
3396953	4	3399739	1	3396953	3399739
3400516	4	3402799	1	3400516	3402799
3407111	4	3410614	1	3407111	3410614
3434377	4	3435258	1	3434377	3435258
3448385	4	3450313	-1	3448385	3450313
3452690	4	3453232	-1	3452690	3453232
3453989	4	3454388	1	3453989	3454388
3456241	4	3459322	1	3456241	3459322
3462169	4	3466192	1	3462169	3466192
3471971	4	3475507	1	3471971	3475507
3475761	4	3476990	1	3475761	3476990
3479401	4	3484025	1	3479401	3484025
3485200	4	3488347	-1	3485200	3488347
3491687	4	3493300	1	3491687	3493300
3503657	4	3509438	-1	3503657	3509438
3511296	4	3514963	-1	3511296	3514963
3547532	4	3551749	1	3547532	3551749
3553030	4	3556600	-1	3553030	3556600
3577841	4	3579584	-1	3577841	3579584
3589174	4	3590693	-1	3589174	3590693
3599085	4	3600647	1	3599085	3600647
3603572	4	3604892	-1	3603572	3604892
3606674	4	3607828	-1	3606674	3607828
3615170	4	3620302	-1	3615170	3620302
3621458	4	3624567	-1	3621458	3624567
3627549	4	3628263	-1	3627549	3628263
3628337	4	3630001	-1	3628337	3630001
3638280	4	3640559	-1	3638280	3640559
3644883	4	3647603	1	3644883	3647603
3648592	4	3651377	-1	3648592	3651377
3667128	4	3668447	1	3667128	3668447
3675700	4	3678903	-1	3675700	3678903
3680627	4	3684590	-1	3680627	3684590
3690130	4	3693315	-1	3690130	3693315
3696447	4	3699617	-1	3696447	3699617
3705397	4	3708579	-1	3705397	3708579
3713038	4	3714298	1	3713038	3714298
3716599	4	3718647	-1	3716599	3718647
3721845	4	3723995	-1	3721845	3723995
3732242	4	3734947	-1	3732242	3734947
3743174	4	3747858	-1	3743174	3747858
3750737	4	3752668	1	3750737	3752668
3754972	4	3757179	-1	3754972	3757179
3766293	4	3768368	-1	3766293	3768368
3774365	4	3776541	1	3774365	3776541
3778182	4	3780327	-1	3778182	3780327
3784453	4	3785559	-1	3784453	3785559
3790835	4	3791204	-1	3790835	3791204
3792438	4	3793769	-1	3792438	3793769
3796996	4	3798049	1	3796996	3798049
3798713	4	3806364	-1	3798713	3806364
3810751	4	3814020	1	3810751	3814020
3829473	4	3831602	1	3829473	3831602
3836190	4	3838346	1	3836190	3838346
3842717	4	3843784	-1	3842717	3843784
3857770	4	3862064	-1	3857770	3862064
3862478	4	3867588	1	3862478	3867588
3870397	4	3874159	1	3870397	3874159
3879028	4	3883038	1	3879028	3883038
3883274	4	3886419	-1	3883274	3886419
3887606	4	3889156	-1	3887606	3889156
3890438	4	3893974	-1	3890438	3893974
3896780	4	3901447	1	3896780	3901447
3902097	4	3904038	1	3902097	3904038
3909119	4	3913068	1	3909119	3913068
3913681	4	3913965	-1	3913681	3913965
3920203	4	3920575	1	3920203	3920575
3927433	4	3929790	1	3927433	3929790
3932837	4	3934338	-1	3932837	3934338
3950962	4	3951259	1	3950962	3951259
3953084	4	3956705	-1	3953084	3956705
3958047	4	3970584	-1	3958047	3970584
3973735	4	3974866	1	3973735	3974866
3975096	4	3975514	1	3975096	3975514
3980820	4	3982775	1	3980820	3982775
3991737	4	4002024	1	3991737	4002024
4003556	4	4005441	1	4003556	4005441
4010439	4	4010711	-1	4010439	4010711
4027776	4	4029669	-1	4027776	4029669
4032884	4	4037238	1	4032884	4037238
4039138	4	4039395	1	4039138	4039395
4042073	4	4044986	1	4042073	4044986
4048092	4	4050699	-1	4048092	4050699
4053652	4	4056357	-1	4053652	4056357
4053652	4	4056357	-1	4053652	4056357
4053652	4	4056357	-1	4053652	4056357
4059513	4	4062068	-1	4059513	4062069
4059513	4	4062069	-1	4059513	4062069
4066335	4	4066454	-1	4066335	4066454
4066593	4	4067738	-1	4066593	4067738
4074924	4	4076251	1	4074924	4076251
4078258	4	4083156	-1	4078258	4083156
4083594	4	4085704	1	4083594	4085704
4086585	4	4088040	1	4086585	4088040
4091311	4	4091904	-1	4091311	4091904
4093489	4	4093659	1	4093489	4093659
4095884	4	4097032	1	4095884	4097032
4098359	4	4099280	1	4098359	4099280
4100125	4	4105961	1	4100125	4105961
4108055	4	4110402	-1	4108055	4110402
4113341	4	4115354	-1	4113341	4115354
4120720	4	4121495	-1	4120720	4121495
4129455	4	4130097	1	4129455	4130097
4143518	4	4146415	-1	4143518	4146415
4155942	4	4168748	-1	4155942	4168748
4174931	4	4177916	1	4174931	4177916
4180691	4	4181680	1	4180691	4181680
4182424	4	4182642	1	4182424	4182642
4185026	4	4185993	1	4185026	4185993
